,dateTime,device,id,latitude,longitude,speed,dateTime_con
0,2018-09-01 00:00:00+00:00,{'id': 'b1'},,43.377739,-79.7354507,0.0,1535760000000000000
27,2019-01-24 13:53:36+00:00,{'id': 'b1'},b729,43.3814774,-79.7374725,14.0,1548338016000000000
28,2019-01-24 13:53:40+00:00,{'id': 'b1'},b72A,43.3815308,-79.7375259,0.0,1548338020000000000
31,2019-01-24 13:53:50+00:00,{'id': 'b1'},b72D,43.3815041,-79.7376022,5.0,1548338030000000000
32,2019-01-24 13:53:51+00:00,{'id': 'b1'},b72E,43.3815308,-79.7376251,11.0,1548338031000000000
33,2019-01-24 13:53:57+00:00,{'id': 'b1'},b72F,43.381813,-79.7380066,39.0,1548338037000000000
34,2019-01-24 13:54:01+00:00,{'id': 'b1'},b730,43.3821449,-79.738472,53.0,1548338041000000000
35,2019-01-24 13:54:05+00:00,{'id': 'b1'},b731,43.3825264,-79.739006,59.0,1548338045000000000
36,2019-01-24 13:54:16+00:00,{'id': 'b1'},b732,43.3837585,-79.7407227,66.0,1548338056000000000
37,2019-01-24 13:54:22+00:00,{'id': 'b1'},b733,43.384449,-79.7416458,61.0,1548338062000000000
38,2019-01-24 13:54:27+00:00,{'id': 'b1'},b734,43.3850098,-79.7422104,55.0,1548338067000000000
39,2019-01-24 13:54:30+00:00,{'id': 'b1'},b735,43.3854218,-79.742363,53.0,1548338070000000000
40,2019-01-24 13:54:34+00:00,{'id': 'b1'},b736,43.3859062,-79.7423096,44.0,1548338074000000000
41,2019-01-24 13:54:37+00:00,{'id': 'b1'},b737,43.3861618,-79.7422562,28.0,1548338077000000000
42,2019-01-24 13:54:39+00:00,{'id': 'b1'},b738,43.3862915,-79.7423096,26.0,1548338079000000000
43,2019-01-24 13:54:42+00:00,{'id': 'b1'},b739,43.3863678,-79.7426147,35.0,1548338082000000000
44,2019-01-24 13:54:46+00:00,{'id': 'b1'},b73A,43.3864441,-79.7432327,50.0,1548338086000000000
45,2019-01-24 13:54:52+00:00,{'id': 'b1'},b73B,43.3867264,-79.7443848,66.0,1548338092000000000
46,2019-01-24 13:54:55+00:00,{'id': 'b1'},b73C,43.3870087,-79.7449493,66.0,1548338095000000000
47,2019-01-24 13:55:03+00:00,{'id': 'b1'},b73D,43.3879051,-79.7463074,66.0,1548338103000000000
48,2019-01-24 13:55:11+00:00,{'id': 'b1'},b73E,43.3888016,-79.7475357,61.0,1548338111000000000
49,2019-01-24 13:55:18+00:00,{'id': 'b1'},b73F,43.3896446,-79.7486572,72.0,1548338118000000000
50,2019-01-24 13:55:23+00:00,{'id': 'b1'},b740,43.3902321,-79.7494507,63.0,1548338123000000000
51,2019-01-24 13:55:30+00:00,{'id': 'b1'},b741,43.3909264,-79.7503967,52.0,1548338130000000000
52,2019-01-24 13:55:37+00:00,{'id': 'b1'},b742,43.3915405,-79.7511444,41.0,1548338137000000000
53,2019-01-24 13:55:41+00:00,{'id': 'b1'},b743,43.3917694,-79.7514496,20.0,1548338141000000000
54,2019-01-24 13:55:45+00:00,{'id': 'b1'},b744,43.391819,-79.7515259,3.0,1548338145000000000
55,2019-01-24 13:55:46+00:00,{'id': 'b1'},b745,43.3918457,-79.7515259,0.0,1548338146000000000
58,2019-01-24 13:55:53+00:00,{'id': 'b1'},b748,43.3918724,-79.7515793,11.0,1548338153000000000
59,2019-01-24 13:55:58+00:00,{'id': 'b1'},b749,43.3920784,-79.7518616,35.0,1548338158000000000
60,2019-01-24 13:56:03+00:00,{'id': 'b1'},b74A,43.3924866,-79.7523727,53.0,1548338163000000000
61,2019-01-24 13:56:08+00:00,{'id': 'b1'},b74B,43.3930244,-79.7530365,63.0,1548338168000000000
62,2019-01-24 13:56:17+00:00,{'id': 'b1'},b74C,43.3943024,-79.7543182,77.0,1548338177000000000
63,2019-01-24 13:56:19+00:00,{'id': 'b1'},b74D,43.3944817,-79.7544174,83.0,1548338179000000000
64,2019-01-24 13:56:21+00:00,{'id': 'b1'},b74E,43.3950462,-79.7546768,79.0,1548338181000000000
65,2019-01-24 13:56:24+00:00,{'id': 'b1'},b74F,43.3956108,-79.7546997,72.0,1548338184000000000
66,2019-01-24 13:56:29+00:00,{'id': 'b1'},b750,43.3964043,-79.7544937,59.0,1548338189000000000
67,2019-01-24 13:56:33+00:00,{'id': 'b1'},b751,43.3969154,-79.7540894,61.0,1548338193000000000
68,2019-01-24 13:56:36+00:00,{'id': 'b1'},b752,43.3973236,-79.7536774,72.0,1548338196000000000
69,2019-01-24 13:56:43+00:00,{'id': 'b1'},b753,43.3984528,-79.7525024,88.0,1548338203000000000
70,2019-01-24 13:56:50+00:00,{'id': 'b1'},b754,43.399807,-79.7511444,100.0,1548338210000000000
71,2019-01-24 13:56:54+00:00,{'id': 'b1'},b755,43.4005775,-79.7503204,98.0,1548338214000000000
72,2019-01-24 13:57:01+00:00,{'id': 'b1'},b756,43.4018555,-79.7490463,83.0,1548338221000000000
73,2019-01-24 13:57:06+00:00,{'id': 'b1'},b757,43.4025726,-79.7483292,65.0,1548338226000000000
74,2019-01-24 13:57:12+00:00,{'id': 'b1'},b758,43.4031868,-79.7476883,42.0,1548338232000000000
75,2019-01-24 13:57:17+00:00,{'id': 'b1'},b759,43.4035454,-79.7472763,33.0,1548338237000000000
76,2019-01-24 13:57:26+00:00,{'id': 'b1'},b75A,43.404007,-79.746788,20.0,1548338246000000000
77,2019-01-24 13:57:29+00:00,{'id': 'b1'},b75B,43.4040833,-79.7466888,3.0,1548338249000000000
80,2019-01-24 13:57:32+00:00,{'id': 'b1'},b75E,43.40411,-79.7466888,6.0,1548338252000000000
81,2019-01-24 13:57:33+00:00,{'id': 'b1'},b75F,43.4041328,-79.746666,9.0,1548338253000000000
82,2019-01-24 13:57:36+00:00,{'id': 'b1'},b760,43.404213,-79.7465591,18.0,1548338256000000000
83,2019-01-24 13:57:38+00:00,{'id': 'b1'},b761,43.4042625,-79.7464828,16.0,1548338258000000000
