,afterHoursDistance,afterHoursDrivingDuration,afterHoursEnd,afterHoursStart,afterHoursStopDuration,averageSpeed,device,distance,driver,drivingDuration,id,idlingDuration,isSeatBeltOff,maximumSpeed,nextTripStart,speedRange1,speedRange1Duration,speedRange2,speedRange2Duration,speedRange3,speedRange3Duration,start,stop,stopDuration,stopPoint,workDistance,workDrivingDuration,workStopDuration,start_con,stop_con
0,0.0,00:00:00,False,False,00:25:48.0630000,48.86923,{'id': 'b1'},20.4427719,UnknownDriverId,00:25:05.9370000,b1C6,00:00:05,False,123.0,2019-01-24 22:25:48.063000+00:00,1,00:00:16.7780000,0,00:00:00,0,00:00:00,2019-01-24 13:51:58.063000+00:00,2019-01-24 14:17:04+00:00,08:08:44.0630000,"{'x': -79.67631530761719, 'y': 43.51313781738281}",20.4427719,00:25:05.9370000,07:42:56,1548337918063000000,1548339424000000000
7,19.4207153,00:29:27.9370000,True,True,14:04:44,39.5458527,{'id': 'b1'},19.4207153,UnknownDriverId,00:29:27.9370000,b305,00:00:06,False,79.0,2019-01-25 13:44:59.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2019-01-24 22:25:48.063000+00:00,2019-01-24 22:55:16+00:00,14:49:43.0630000,"{'x': -79.73534393310547, 'y': 43.377716064453125}",0.0,00:00:00,00:44:59.0630000,1548368748063000000,1548370516000000000
4,0.0,00:00:00,False,False,00:08:27.0630000,51.809864,{'id': 'b1'},20.4495983,UnknownDriverId,00:23:40.9370000,b3A4,00:00:08,False,123.0,2019-01-25 22:08:27.063000+00:00,2,00:01:16.8300000,0,00:00:00,0,00:00:00,2019-01-25 13:44:59.063000+00:00,2019-01-25 14:08:40+00:00,07:59:47.0630000,"{'x': -79.67733764648438, 'y': 43.5122184753418}",20.4495983,00:23:40.9370000,07:51:20,1548423899063000000,1548425320000000000
6,19.3204174,00:21:20.9370000,True,True,23:11:59.1270000,54.2989273,{'id': 'b1'},19.3204174,UnknownDriverId,00:21:20.9370000,b49F,00:00:05,False,125.0,2019-01-26 21:41:47.127000+00:00,1,00:00:34.5000000,0,00:00:00,0,00:00:00,2019-01-25 22:08:27.063000+00:00,2019-01-25 22:29:48+00:00,23:11:59.1270000,"{'x': -79.73534393310547, 'y': 43.377716064453125}",0.0,00:00:00,00:00:00,1548454107063000000,1548455388000000000
8,4.483621,00:09:42.8730000,True,True,00:15:58.0630000,27.6922,{'id': 'b1'},4.483621,UnknownDriverId,00:09:42.8730000,b4DF,00:00:06,False,77.0,2019-01-26 22:07:28.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2019-01-26 21:41:47.127000+00:00,2019-01-26 21:51:30+00:00,00:15:58.0630000,"{'x': -79.75590515136719, 'y': 43.38222122192383}",0.0,00:00:00,00:00:00,1548538907127000000,1548539490000000000
9,9.28276,00:10:43.9370000,True,True,00:50:06.0630000,51.89628,{'id': 'b1'},9.28276,UnknownDriverId,00:10:43.9370000,b529,00:00:05,False,125.0,2019-01-26 23:08:18.063000+00:00,3,00:01:41.1930000,0,00:00:00,0,00:00:00,2019-01-26 22:07:28.063000+00:00,2019-01-26 22:18:12+00:00,00:50:06.0630000,"{'x': -79.82617950439453, 'y': 43.34272003173828}",0.0,00:00:00,00:00:00,1548540448063000000,1548541092000000000
2,2.694325,00:05:59.9370000,True,True,00:45:17.1270000,26.9479656,{'id': 'b1'},2.694325,UnknownDriverId,00:05:59.9370000,b553,00:00:04,False,79.0,2019-01-26 23:59:35.127000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2019-01-26 23:08:18.063000+00:00,2019-01-26 23:14:18+00:00,00:45:17.1270000,"{'x': -79.80216217041016, 'y': 43.34272003173828}",0.0,00:00:00,00:00:00,1548544098063000000,1548544458000000000
1,8.422518,00:09:50.8730000,True,True,00:30:54.0630000,51.3157043,{'id': 'b1'},8.422518,UnknownDriverId,00:09:50.8730000,b590,00:00:05,False,83.0,2019-01-27 00:40:20.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2019-01-26 23:59:35.127000+00:00,2019-01-27 00:09:26+00:00,00:30:54.0630000,"{'x': -79.7353744506836, 'y': 43.377689361572266}",0.0,00:00:00,00:00:00,1548547175127000000,1548547766000000000
3,3.92396,00:08:11.9370000,True,True,04:15:05.0630000,28.71558,{'id': 'b1'},3.92396,UnknownDriverId,00:08:11.9370000,b5DA,00:00:03,False,52.0,2019-01-27 05:03:37.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2019-01-27 00:40:20.063000+00:00,2019-01-27 00:48:32+00:00,04:15:05.0630000,"{'x': -79.76425170898438, 'y': 43.352474212646484}",0.0,00:00:00,00:00:00,1548549620063000000,1548550112000000000
5,4.883377,00:09:48.9370000,True,True,14:15:10.0630000,29.8506584,{'id': 'b1'},4.883377,UnknownDriverId,00:09:48.9370000,b65A,00:00:05,False,68.0,2019-01-27 19:28:36.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2019-01-27 05:03:37.063000+00:00,2019-01-27 05:13:26+00:00,14:15:10.0630000,"{'x': -79.73539733886719, 'y': 43.377716064453125}",0.0,00:00:00,00:00:00,1548565417063000000,1548566006000000000
11,0.000833333354,00:00:28.9370000,True,True,17:30:55,0.1036735,{'id': 'b1'},0.000833333354,UnknownDriverId,00:00:28.9370000,b76A,00:00:28,False,0.0,2019-01-28 13:19:39.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2019-01-27 19:28:36.063000+00:00,2019-01-27 19:29:05+00:00,17:50:34.0630000,"{'x': -79.7353744506836, 'y': 43.377716064453125}",0.0,00:00:00,00:19:39.0630000,1548617316063000000,1548617345000000000
12,0.0,00:00:00,False,False,00:00:00,49.9700928,{'id': 'b1'},20.7228336,UnknownDriverId,00:24:52.9370000,b852,00:00:15,False,133.0,2019-01-28 17:38:14.063000+00:00,2,00:00:44.0680000,1,00:00:06.1540000,0,00:00:00,2019-01-28 13:19:39.063000+00:00,2019-01-28 13:44:32+00:00,03:53:42.0630000,"{'x': -79.67790222167969, 'y': 43.512577056884766}",20.7228336,00:24:52.9370000,03:53:42.0630000,1548681579063000000,1548683072000000000
